tensao,corrente
-1.428,0.0
-1.384,1.0e-12
-1.299,2.0e-12
-1.264,3.0e-12
-1.230,4.0e-12
-1.189,5.0e-12
-1.055,0.8e-11
-1.000,1.0e-11
-0.914,1.5e-11
-0.816,2.0e-11
-0.745,2.5e-11
-0.680,3.0e-11
-0.555,4.0e-11
-0.456,5.0e-11
-0.363,6.0e-11
-0.285,7.0e-11
-0.209,8.0e-11
-0.141,9.0e-11
0.0,1.1e-10
0.135,1.4e-10
0.338,2.0e-10
0.633,3.0e-10
0.849,4.0e-10
1.019,5.0e-10
1.190,6.0e-10
1.491,8.0e-10
1.845,1.0e-9
4.770,3.0e-9
6.674,4.0e-9
9.025,5.0e-9
11.943,6.0e-9
16.394,7.0e-9
19.000,7.5e-9
20.00,7.6e-9
23.52,8.2e-9
25.22,8.4e-9
27.50,8.8e-9
30.17,9.1e-9